,prelim.household,prelim.gender,hh.Pesticide,hh.SMP,hh.wealth1,base.attitudes,base.dnorms,base.innorms,base.control,base.intention,follow.event_attendance,follow.attitudes,follow.dnorms,follow.innorms,follow.control,follow.intention,final.attitudes,final.dnorms,final.innorms,final.control,final.intention,follow.pledge,follow.story,follow.hotline,final.pledge,final.story,final.hotline,agemod,Base,indeg1,avgAlt1,avgAlt2,avgAlt3,avgAlt4,avgAlt5,avgAlt6
1,149,0,0,0,4,17,6,15,10,7,0,15,7,16,12,8,13,6,10,9,6,0,0,0,0,0,0,1.942196507,1,5,NA,9,6.666666667,NA,16,14.66666667
2,120,0,0,1,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.248554898,0,2,NA,8,8,NA,15,14
3,137,1,1,0,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456647381,0,1,6.5,7.666666667,6,15,15.66666667,15.5
4,71,0,0,0,4,16,6,12,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15028899,1,2,7,9,6,13.5,16,17
5,129,0,0,0,4,14,6,16,10,8,0,10,6,10,8,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.15028899,1,5,6.5,6.5,6,14,13.75,15
6,39,1,0,0,2,13,6,13,10,6,0,14,8,9,8,8,17,8,16,10,8,0,0,0,0,0,0,4.99421959,1,2,8.5,9.333333333,7,16.5,16.33333333,14
7,124,1,0,0,5,16,6,15,12,9,0,14,6,14,10,8,17,8,10,12,9,0,0,0,0,0,0,1.38728322,1,1,7.5,6.5,7.333333333,16.25,14,14.33333333
8,101,0,0,0,2,NA,NA,NA,NA,NA,0,17,6,13,12,8,16,5,17,12,9,0,0,0,0,0,0,1.595375702,0,2,NA,NA,NA,NA,NA,NA
9,125,1,0,0,3,NA,NA,NA,NA,NA,0,16,6,14,10,8,14,6,17,11,9,0,0,0,0,1,1,3.260115566,0,3,8,8.5,6,16.33333333,15.5,13
10,63,0,0,0,2,NA,NA,NA,NA,NA,0,17,6,16,13,9,17,6,16,12,10,0,0,0,0,0,0,3.329479727,0,8,8,8.8,8,15.5,14.8,15.75
11,155,0,0,0,5,NA,NA,NA,NA,NA,0,15,7,12,9,8,18,8,15,10,10,0,0,0,0,0,0,4.092485498,0,6,6,8,6,15,16,13
12,80,1,1,1,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.774566439,0,4,5,7.333333333,6.5,13,13.66666667,15
13,136,1,1,0,4,14,6,12,12,6,0,12,6,12,10,6,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.734104024,1,1,6.5,4,6,15,15,15
14,103,1,0,0,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.121387244,0,14,9,9.333333333,7.5,15.33333333,17.33333333,14.5
15,100,0,0,0,4,16,6,13,12,9,0,16,6,14,9,8,17,6,14,10,9,0,0,0,0,0,0,3.329479727,1,5,8.8,8.833333333,8.333333333,14.8,15.66666667,14.33333333
16,104,1,0,0,4,NA,NA,NA,NA,NA,0,16,6,14,10,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.15028899,0,8,NA,9.5,8,NA,18,16
17,73,1,0,0,4,16,8,15,11,9,1,13,8,13,8,10,NA,NA,NA,NA,NA,3,3,3,NA,NA,NA,2.635838117,1,5,7.333333333,8.5,7,14.66666667,16,15
18,89,0,0,0,3,NA,NA,NA,NA,NA,0,14,4,9,11,6,20,10,12,13,7,0,0,0,0,0,0,3.121387244,0,0,NA,10,10,NA,19,20
19,125,1,0,0,3,14,8,12,9,7,0,16,6,13,11,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.248554898,1,4,8,8.5,7.5,18,15.5,13.5
20,26,0,1,0,5,17,8,18,10,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.248554898,1,3,9,8.333333333,9,19,13.66666667,16
21,39,0,0,0,2,18,6,12,8,8,0,16,6,16,10,8,15,6,15,9,6,0,0,0,0,5,0,2.011560668,1,2,7.5,8,8.333333333,14,14.75,16
22,67,0,0,0,5,NA,NA,NA,NA,NA,0,14,6,18,10,10,12,6,12,9,6,0,0,0,0,0,0,2.982658922,0,10,8.25,7,8,15.75,16,13.66666667
23,12,0,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38728322,0,5,7,9.166666667,7,13,15.83333333,15.5
24,91,1,0,0,4,NA,NA,NA,NA,NA,0,18,9,18,13,5,19,9,16,14,10,1,0,0,0,0,0,3.190751405,0,7,10,5.5,7.5,17,11,18
25,12,0,0,0,3,NA,NA,NA,NA,NA,0,13,5,13,10,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.872832346,0,9,7,8,6,15.5,14.66666667,13
26,12,0,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.526011542,0,5,NA,8.333333333,NA,NA,14,NA
27,23,0,0,1,4,16,6,13,12,8,0,15,6,15,12,8,20,9,14,13,6,0,0,1,2,0,2,1.595375702,1,11,NA,8.666666667,9,NA,16.33333333,17.25
28,52,0,0,0,3,15,6,16,12,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.219653151,1,7,8,8.25,8.666666667,14.6,14.75,16.66666667
29,13,0,0,0,4,18,8,15,11,10,1,15,5,18,14,10,14,7,17,12,7,3,2,3,2,4,3,2.774566439,1,5,7.333333333,8.571428571,8.2,15,15.57142857,17.8
30,28,0,0,1,4,17,6,12,9,9,0,17,6,16,15,10,15,8,17,12,8,0,0,0,0,0,0,2.982658922,1,8,9,8.8,8.5,16.5,15.6,18.16666667
31,29,0,1,0,3,NA,NA,NA,NA,NA,0,14,6,11,11,6,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.566473956,0,10,9,8.75,7.6,17,15.5,15.2
32,23,0,0,1,4,NA,NA,NA,NA,NA,0,16,5,12,12,8,20,10,12,15,10,3,4,2,1,5,3,1.38728322,0,5,8,8,8,16.5,15.2,16.6
33,44,0,1,0,4,17,6,15,12,9,0,16,6,15,10,8,16,6,15,12,6,0,0,0,1,5,2,2.080924829,1,1,9,9,7,14,15,14
34,42,0,0,1,3,NA,NA,NA,NA,NA,1,15,6,11,11,9,NA,NA,NA,NA,NA,2,5,0,NA,NA,NA,5.063583751,0,3,7.5,8.75,7,15,16.25,15.66666667
35,33,1,0,0,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.190751405,0,3,7.75,7.5,7.4,16.75,15.375,16.2
36,121,1,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.982658922,0,3,7,8.5,9,13,15,16.5
37,79,1,0,0,3,NA,NA,NA,NA,NA,0,10,2,5,6,2,13,5,8,9,4,0,0,0,0,0,0,2.427745634,0,3,9,8.25,6,14.5,16,14.66666667
38,92,1,0,0,3,17,6,15,13,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.872832346,1,3,8,6.5,10,17,17,19.5
39,134,0,0,1,4,11,6,8,5,4,1,16,5,11,8,7,16,6,12,8,8,2,4,2,0,5,2,2.289017312,1,3,6.5,4,6,13,11.33333333,13.5
40,34,1,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15028899,0,2,NA,9,7,NA,15.25,16
41,33,0,0,0,5,NA,NA,NA,NA,NA,0,14,7,13,12,8,16,6,11,11,6,0,0,0,0,0,0,1.734104024,0,7,4,9.333333333,6,14,15.33333333,17
42,25,1,1,0,5,11,6,12,11,4,0,15,6,16,12,10,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.289017312,1,8,8,6,8,17,14.75,15.75
43,83,0,1,1,4,NA,NA,NA,NA,NA,0,14,9,17,11,9,15,8,16,12,9,0,0,0,0,0,0,1.803468185,0,4,NA,8.333333333,7.333333333,NA,14.66666667,16.33333333
44,26,0,1,0,5,NA,NA,NA,NA,NA,0,14,6,12,9,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.15028899,0,6,7,8.5,8,15.66666667,13.75,14.66666667
45,26,0,1,0,5,NA,NA,NA,NA,NA,0,12,8,14,12,8,16,7,14,9,8,0,1,2,0,0,0,1.803468185,0,4,8.5,8.25,7.666666667,18,14,14.33333333
46,1,0,0,0,4,NA,NA,NA,NA,NA,0,13,6,11,8,7,12,5,12,7,6,0,0,0,0,0,0,2.566473956,0,7,6,8.166666667,8,14,14.83333333,15
47,26,1,1,0,5,19,10,16,14,9,0,15,6,15,15,9,16,8,13,12,10,0,0,1,0,0,0,1.456647381,1,3,6,8.4,7.666666667,14,13.6,14.33333333
48,76,0,1,1,2,NA,NA,NA,NA,NA,0,16,6,13,12,7,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.566473956,0,5,8,7.8,4.333333333,16,14.8,14.33333333
49,130,0,0,0,3,NA,NA,NA,NA,NA,0,17,6,17,13,9,17,9,12,11,6,0,0,0,1,0,0,3.468208049,0,7,8,5.666666667,6,13,13,13.5
50,6,1,1,0,4,NA,NA,NA,NA,NA,1,15,6,15,14,10,20,6,16,12,10,3,5,2,3,5,2,3.676300532,0,8,8.5,9.5,7.6,16,16,15.8
51,125,0,0,0,3,18,6,17,12,8,1,15,6,18,13,9,13,6,12,12,6,3,5,2,3,4,1,3.190751405,1,6,8,8,9,15.5,16,14
52,14,0,0,0,2,13,7,15,8,6,0,14,6,16,12,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,3.468208049,1,4,8,9,9,16,14.5,15
53,11,1,0,0,2,18,6,14,11,9,1,20,6,18,14,10,NA,NA,NA,NA,NA,3,5,1,NA,NA,NA,4.99421959,1,8,8,7,8,16,15,15
54,120,1,0,1,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.803468185,0,1,8,9,7,15.5,20,14
55,106,1,0,0,5,15,6,14,10,8,0,20,6,11,6,9,14,7,16,10,7,0,0,0,0,0,0,4.300577981,1,3,7.8,9,9.4,15.6,16.85714286,17
56,122,0,0,0,3,13,7,12,8,7,0,16,6,13,12,8,17,7,14,9,9,0,0,0,0,0,2,1.456647381,1,3,9,8,10,14.5,14,20
57,39,1,0,0,2,15,6,19,11,9,0,19,6,16,13,10,15,6,15,12,9,0,0,0,0,5,0,4.369942142,1,2,7,8.666666667,6.666666667,15.5,14.66666667,14.66666667
58,68,1,0,1,3,17,7,19,13,10,0,18,6,15,14,10,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.566473956,1,6,8,6,8,16.33333333,15.5,13
59,139,0,1,0,4,NA,NA,NA,NA,NA,0,13,6,13,8,8,14,7,12,9,8,0,0,0,0,0,0,3.329479727,0,3,5.666666667,3.333333333,5.666666667,14.33333333,13.33333333,14
60,135,0,0,1,4,NA,NA,NA,NA,NA,0,13,6,10,9,8,14,6,14,10,6,0,0,0,0,0,0,3.676300532,0,2,6.333333333,6,7,15.33333333,14.5,16
61,42,0,0,1,3,NA,NA,NA,NA,NA,1,17,7,19,14,9,NA,NA,NA,NA,NA,3,4,3,NA,NA,NA,3.329479727,0,5,8,8.666666667,7,17,15.83333333,16.75
62,114,0,0,1,4,11,6,10,8,4,0,14,6,12,8,4,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.635838117,1,4,8.5,8.142857143,8.25,16.25,15.42857143,15.75
63,123,1,0,0,3,NA,NA,NA,NA,NA,0,14,7,16,10,8,19,9,17,11,10,0,0,0,1,5,0,4.369942142,0,2,9,8.4,7.75,13,14.2,16.75
64,6,0,1,0,4,14,5,14,10,8,0,16,6,18,12,9,NA,NA,NA,NA,NA,1,0,2,NA,NA,NA,1.317919059,1,6,NA,9.333333333,8.666666667,NA,15.33333333,17
65,2,0,0,0,3,17,8,16,9,8,0,18,9,13,10,10,16,7,14,11,8,0,0,0,0,0,0,2.427745634,1,7,10,8.166666667,7.6,16,14.5,15.8
66,34,0,0,0,3,NA,NA,NA,NA,NA,0,17,7,16,11,9,14,7,13,9,7,1,0,1,1,0,0,1.456647381,0,4,8.5,10,10,15.5,16,16
67,48,1,1,0,4,14,6,14,12,8,0,15,6,13,10,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.011560668,1,3,8.5,9.5,8,17,16,15
68,27,0,1,0,4,NA,NA,NA,NA,NA,0,14,6,15,11,8,16,6,14,12,8,0,0,0,0,0,0,1.595375702,0,6,9,8.5,7.333333333,17,15.5,15.66666667
69,59,0,0,0,2,NA,NA,NA,NA,NA,0,17,8,18,10,8,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,1.456647381,0,1,9,9.666666667,7,15.66666667,17,16
70,57,0,0,1,4,NA,NA,NA,NA,NA,0,16,6,10,8,6,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,1.456647381,0,3,9,9.5,6.5,15.5,14.5,15
71,7,0,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.317919059,0,3,8.666666667,7.75,5.666666667,14.66666667,14,15
72,103,0,0,0,5,14,7,12,10,8,0,16,8,15,10,8,12,6,11,6,5,0,0,0,0,0,0,3.052023083,1,8,9,9,9,16,18,17
73,148,0,1,0,5,NA,NA,NA,NA,NA,0,17,8,16,12,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.248554898,0,3,NA,9,8,NA,16.5,15.5
74,66,1,0,1,4,NA,NA,NA,NA,NA,0,17,9,16,10,8,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.872832346,0,6,9,7,8,17,15.25,14
75,95,0,0,0,3,NA,NA,NA,NA,NA,0,17,7,16,10,10,15,6,14,11,6,0,0,1,0,0,0,2.15028899,0,4,7.25,9.4,7.166666667,16,16.2,15.5
76,80,0,1,1,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.664739863,0,5,7.5,6.666666667,6.666666667,15,12.66666667,14
77,90,0,0,1,4,NA,NA,NA,NA,NA,1,19,9,15,9,10,20,10,16,11,10,3,5,3,1,5,1,2.982658922,0,3,NA,9,8,NA,17.33333333,16
78,7,1,0,0,3,14,6,14,10,8,1,14,9,18,14,10,14,6,16,9,6,1,1,3,2,5,2,3.121387244,1,8,9.5,9.333333333,8.5,14,14.66666667,19.5
79,51,1,0,0,3,NA,NA,NA,NA,NA,0,17,6,16,13,9,15,6,14,12,8,0,0,0,0,0,0,2.080924829,0,6,8.5,7.6,7.666666667,15.75,16,15
80,8,0,0,0,5,12,6,11,12,9,1,14,6,16,10,8,NA,NA,NA,NA,NA,2,5,2,NA,NA,NA,2.8439306,1,9,8.5,9.2,8,15,15.2,16
81,13,0,0,0,4,NA,NA,NA,NA,NA,0,14,6,13,13,9,16,6,15,12,8,2,1,0,2,5,2,1.317919059,0,3,9,9.428571429,8,16.66666667,15.85714286,16.83333333
82,131,0,0,0,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.526011542,0,1,NA,5,6,NA,13.66666667,15.5
83,150,1,1,0,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.080924829,0,2,6,8.666666667,4,15,16.33333333,13
84,36,0,1,0,4,15,6,12,12,10,0,14,8,14,12,9,12,6,15,12,9,0,0,0,0,0,0,1.526011542,1,6,8.5,8,9,15.5,16,17
85,38,0,0,1,5,15,6,14,10,8,0,17,8,16,12,10,13,6,14,12,8,0,0,0,0,0,0,1.526011542,1,5,9,8.5,9,16,16.5,17
86,87,1,0,0,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.341040395,0,6,8,9,6.5,15,16.33333333,16
87,12,1,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.942196507,0,6,8.333333333,9.333333333,5,15,14.66666667,19
88,30,1,0,0,2,NA,NA,NA,NA,NA,0,12,6,12,9,6,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,4.716762946,0,1,9,9,NA,19,15.5,NA
89,11,0,0,0,2,18,6,14,10,7,1,14,8,17,10,8,NA,NA,NA,NA,NA,2,2,2,NA,NA,NA,4.716762946,1,3,9,10,NA,18,20,NA
90,127,0,1,0,2,NA,NA,NA,NA,NA,0,14,6,11,8,8,16,6,12,10,8,0,0,0,0,0,0,4.578034625,0,1,9,5.5,7,17,14.5,14
91,121,0,0,0,3,NA,NA,NA,NA,NA,0,14,6,17,13,9,16,7,15,11,9,0,0,0,2,5,0,3.329479727,0,4,7.5,9,9,15,16.5,18
92,117,0,0,0,4,NA,NA,NA,NA,NA,0,15,6,9,12,8,14,6,13,10,8,2,0,0,0,0,0,2.427745634,0,5,7.333333333,9.166666667,7.2,13,15.83333333,15
93,118,0,1,0,4,NA,NA,NA,NA,NA,0,14,8,17,13,9,16,6,14,11,6,0,0,0,1,0,0,3.745664693,0,14,7,9,8,14,17.5,17.66666667
94,85,0,0,1,5,NA,NA,NA,NA,NA,0,15,9,16,11,9,20,9,20,11,8,0,0,0,0,0,0,4.023121337,0,6,6.5,8.5,7.2,12.5,15.33333333,15.6
95,153,0,0,0,5,NA,NA,NA,NA,NA,0,15,6,16,12,9,15,7,16,12,6,0,0,0,0,0,0,1.595375702,0,4,8,8.5,5,16,14.5,13.66666667
96,152,0,0,0,2,NA,NA,NA,NA,NA,0,14,7,13,8,8,13,6,12,9,6,0,1,0,0,0,0,1.734104024,0,3,8,8.5,6,16,14.5,15
97,77,0,0,0,2,NA,NA,NA,NA,NA,0,14,6,14,12,10,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.456647381,0,1,6,8.666666667,8,15,16.33333333,16
98,74,1,0,0,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.456647381,0,3,NA,8,NA,NA,15.5,NA
99,47,0,0,1,3,14,7,9,8,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.664739863,1,2,8.75,8.8,6.5,16,15.4,14.5
100,94,1,0,0,4,NA,NA,NA,NA,NA,0,19,10,17,15,10,NA,NA,NA,NA,NA,0,0,3,NA,NA,NA,1.872832346,0,2,10,9,6.5,19,15,17
101,74,0,0,0,3,NA,NA,NA,NA,NA,0,13,6,10,12,6,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.248554898,0,5,8,8.5,9,14,14.75,17
102,131,1,0,0,4,NA,NA,NA,NA,NA,0,12,6,9,10,2,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.664739863,0,2,8,6.666666667,6,14,15.33333333,15.5
103,130,1,0,0,3,12,6,17,10,8,0,17,6,16,10,9,13,6,15,11,6,0,0,0,0,0,0,3.606936371,1,1,8,6.5,6,14,13.5,17
104,78,1,0,0,3,18,6,15,12,9,0,17,6,13,8,9,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,1.872832346,1,1,8.5,7.6,6.5,15.25,15.8,15
105,155,1,0,0,5,15,8,15,8,6,0,16,8,12,10,8,13,6,14,8,6,0,0,0,0,0,0,1.456647381,1,3,3,8,10,11,16,18
106,84,0,0,0,3,NA,NA,NA,NA,NA,0,14,6,14,13,8,16,7,12,11,8,0,0,0,0,0,0,1.38728322,0,6,NA,8.75,8,NA,14.5,15.5
107,92,0,0,0,3,17,8,13,10,8,0,16,7,14,12,8,20,10,15,15,10,0,0,0,0,0,0,1.526011542,1,1,10,3.5,8,17,13,18.5
108,138,1,1,0,5,13,6,13,8,6,0,14,8,11,8,3,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,2.011560668,1,2,7,7.666666667,5,16,15.33333333,12
109,3,0,0,0,3,NA,NA,NA,NA,NA,0,15,6,13,12,8,15,6,16,12,9,0,1,0,0,0,0,1.38728322,0,3,8,8.75,7,17,15,14.25
110,110,1,0,0,5,NA,NA,NA,NA,NA,0,15,6,13,11,9,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,1.734104024,0,4,NA,8.5,7,NA,15,14
111,143,1,0,0,3,NA,NA,NA,NA,NA,0,16,6,13,13,8,18,8,16,12,10,0,0,0,0,0,0,1.248554898,0,2,10,10,NA,17,12,NA
112,65,0,0,1,3,15,8,12,10,8,0,16,7,16,10,8,16,8,12,12,6,0,0,0,0,0,0,2.497109795,1,7,8,9.5,9,16,17,15.5
113,69,0,0,1,4,10,4,8,10,4,1,15,6,14,12,8,NA,NA,NA,NA,NA,2,5,2,NA,NA,NA,3.190751405,1,4,8,8.666666667,7,14.33333333,15,16
114,100,1,0,0,4,16,4,16,14,10,0,16,6,20,14,10,17,6,17,13,10,0,0,2,1,0,0,3.53757221,1,6,8.5,8,7,15,16,14.5
115,70,0,1,0,4,14,8,12,12,8,0,12,6,12,10,6,15,7,12,10,6,0,0,0,0,0,0,2.566473956,1,4,8.333333333,8.5,7,16,16,15.5
116,112,0,0,1,4,NA,NA,NA,NA,NA,0,16,8,17,9,10,14,7,12,10,8,0,0,0,0,0,0,2.774566439,0,6,6,7,7.75,13.5,15,15.25
117,47,1,0,1,3,15,6,13,12,8,0,15,4,14,11,8,NA,NA,NA,NA,NA,0,0,2,NA,NA,NA,1.872832346,1,3,5.666666667,8.5,6.666666667,13,15.25,14.66666667
118,28,1,0,1,4,17,6,15,13,10,0,14,6,10,13,9,18,8,16,12,9,0,0,0,0,0,0,3.121387244,1,4,9,8.25,8,17,15.75,16.33333333
119,109,1,0,1,4,14,6,13,12,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.329479727,1,2,8.666666667,8.833333333,7.666666667,16.33333333,16,16.33333333
120,155,1,0,0,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.369942142,0,6,4.5,8,8,13,16,15.5
121,80,0,1,1,4,15,8,13,9,6,1,12,8,10,10,4,15,6,14,10,7,2,3,3,0,4,0,3.190751405,1,7,8,9,6,16,14.5,15
