,prelim.household,prelim.gender,prelim.age,hh.wealth1,hh.SMP,hh.Pesticide,base.control,base.attitudes,base.dnorms,base.innorms,base.intention,follow.control,follow.attitudes,follow.dnorms,follow.innorms,follow.intention,final.control,final.attitudes,final.dnorms,final.innorms,final.intention,follow.event_attendance,base.hotline,follow.hotline,final.hotline,base.story,follow.story,final.story,base.pledge,follow.pledge,final.pledge,base.Knowledge,follow.Knowledge,final.Knowledge,ID,Base
133,74,1,37,3,0,0,NA,NA,NA,NA,NA,8,15,5,11,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,133,0
134,123,0,45,3,0,0,10,13,7,15,9,10,14,8,14,8,11,20,6,16,10,0,0,0,0,0,5,5,0,0,1,0,5,6,134,1
135,80,1,45,4,1,1,NA,NA,NA,NA,NA,8,14,6,13,8,12,15,5,14,6,0,0,2,0,0,2,0,0,0,0,0,4,0,135,0
136,96,0,35,4,0,1,NA,NA,NA,NA,NA,11,16,8,17,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,136,0
137,95,0,35,3,0,0,7,12,5,11,6,11,15,6,16,10,9,12,6,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,137,1
138,87,0,60,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,138,0
139,54,0,29,3,0,0,6,11,6,12,6,6,14,6,13,8,NA,NA,NA,NA,NA,1,0,2,NA,0,0,NA,0,3,NA,0,5,NA,139,1
140,78,0,25,3,0,0,10,14,5,16,9,9,15,7,12,6,12,16,8,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,140,1
141,107,1,31,4,0,1,7,20,5,17,10,12,17,6,15,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,141,1
142,43,1,19,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,142,0
143,31,1,34,4,0,0,14,16,7,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,143,1
144,43,0,22,5,1,0,11,15,6,14,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,144,1
145,55,0,21,5,0,0,11,15,6,13,8,10,14,6,12,9,8,11,6,14,6,1,0,3,0,0,4,0,0,2,0,0,9,0,145,1
146,30,0,72,2,0,0,NA,NA,NA,NA,NA,9,15,6,13,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,146,0
147,58,0,37,5,NA,1,11,14,5,13,9,11,17,6,11,9,8,13,5,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,147,1
148,41,0,47,4,1,1,10,15,7,12,6,10,16,7,16,9,12,16,8,14,8,1,0,2,2,0,3,5,0,3,1,0,8,8,148,1
149,113,1,33,3,0,0,9,12,7,15,6,10,14,7,13,8,11,12,6,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,149,1
150,1,1,36,4,0,0,NA,NA,NA,NA,NA,7,13,6,15,3,10,15,6,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0
151,96,1,39,4,0,1,7,16,6,15,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,151,1
152,138,0,24,5,0,1,9,13,6,13,4,12,13,6,8,4,9,12,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,152,1
153,50,0,48,2,0,0,13,19,6,18,10,14,16,6,19,10,11,14,7,15,6,0,0,0,0,0,0,0,0,2,0,0,2,0,153,1
154,43,1,57,5,1,0,NA,NA,NA,NA,NA,9,14,8,13,9,10,17,7,16,7,1,0,2,0,0,1,0,0,2,1,0,5,1,154,0
155,112,1,53,4,1,0,NA,NA,NA,NA,NA,10,15,6,12,8,11,15,6,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0
156,128,1,28,4,1,0,10,16,6,14,8,13,18,6,15,10,8,13,5,9,4,0,0,0,0,0,0,5,0,0,1,0,0,6,156,1
157,91,0,46,4,0,0,NA,NA,NA,NA,NA,8,8,3,8,2,8,18,4,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0
158,126,0,43,2,NA,0,8,17,6,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,158,1
159,NA,NA,NA,NA,NA,NA,7,14,8,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,159,1
160,12,1,38,3,0,0,NA,NA,NA,NA,NA,10,16,6,16,10,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,160,0
161,135,1,27,4,1,0,10,16,6,16,6,12,14,6,15,8,9,17,6,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,161,1
162,22,0,66,3,0,0,9,12,6,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,162,1
163,154,0,31,2,0,0,10,14,8,10,6,6,10,6,8,3,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,163,1
164,151,1,48,3,0,0,12,14,7,12,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,164,1
165,32,0,46,3,0,0,6,10,6,10,4,10,14,6,14,8,9,16,7,14,7,1,0,0,0,0,2,1,0,0,0,0,2,1,165,1
166,72,1,19,4,1,0,9,16,7,14,8,8,14,6,16,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,166,1
167,146,1,25,4,0,0,12,14,6,12,9,12,16,6,16,10,NA,NA,NA,NA,NA,1,0,2,NA,0,5,NA,0,3,NA,0,10,NA,167,1
168,NA,NA,NA,NA,NA,NA,11,14,4,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,168,1
169,8,1,18,5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,169,0
170,13,1,42,4,0,0,NA,NA,NA,NA,NA,15,20,6,20,10,9,19,6,13,9,1,0,3,3,0,4,0,0,3,3,0,10,6,170,0
171,50,1,49,2,0,0,12,19,6,12,8,15,19,8,18,10,12,17,5,11,8,0,0,0,0,0,0,0,0,2,1,0,2,1,171,1
172,6,0,54,4,0,1,NA,NA,NA,NA,NA,15,16,6,18,10,11,17,5,14,8,1,0,3,0,0,5,0,0,3,1,0,11,1,172,0
173,NA,NA,NA,NA,NA,NA,10,14,9,19,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,173,1
174,5,0,48,4,0,0,NA,NA,NA,NA,NA,11,18,6,16,10,NA,NA,NA,NA,NA,0,0,0,NA,0,1,NA,0,0,NA,0,1,NA,174,0
175,93,1,58,5,1,1,NA,NA,NA,NA,NA,10,17,6,17,9,8,14,6,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0
176,143,0,45,3,0,0,12,17,7,12,10,14,12,5,14,10,NA,NA,NA,NA,NA,1,0,0,NA,0,0,NA,0,1,NA,0,1,NA,176,1
177,70,1,38,4,0,1,8,17,6,12,8,13,15,5,13,7,12,16,7,13,8,0,0,3,0,0,0,0,0,0,0,0,3,0,177,1
178,18,1,18,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,178,0
179,18,0,19,4,0,1,NA,NA,NA,NA,NA,11,16,8,16,8,12,18,6,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0
180,83,1,28,4,1,1,NA,NA,NA,NA,NA,12,16,6,16,9,11,16,8,16,6,0,0,0,0,0,0,0,0,1,0,0,1,0,180,0
181,75,0,34,3,0,0,7,13,6,14,7,14,17,6,17,9,NA,NA,NA,NA,NA,1,0,3,NA,0,4,NA,0,2,NA,0,9,NA,181,1
182,53,0,29,2,0,0,12,19,6,14,9,14,20,8,16,10,12,14,8,16,10,1,0,3,2,0,5,5,0,3,2,0,11,9,182,1
183,64,0,40,4,1,0,12,15,8,16,10,14,17,6,17,10,9,12,6,12,6,1,0,0,0,0,1,0,0,3,0,0,4,0,183,1
184,NA,NA,NA,NA,NA,NA,13,20,8,16,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,184,1
185,18,1,62,4,0,1,NA,NA,NA,NA,NA,10,14,6,12,8,12,16,7,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0
186,124,0,60,5,0,0,NA,NA,NA,NA,NA,9,13,6,11,4,11,14,6,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0
187,142,0,53,5,0,0,8,13,7,10,6,12,9,5,14,9,10,16,8,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0,187,1
188,29,0,19,3,0,1,NA,NA,NA,NA,NA,14,16,5,14,9,12,15,6,14,8,0,0,0,1,0,0,1,0,0,0,0,0,2,188,0
189,NA,NA,NA,NA,NA,NA,12,19,8,15,9,10,16,7,15,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,189,1
190,132,0,22,4,0,0,NA,NA,NA,NA,NA,8,12,7,12,4,10,14,6,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0
191,133,1,25,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,191,0
192,56,0,25,3,0,0,12,14,6,15,8,13,17,6,13,10,11,16,6,15,9,0,0,0,0,0,0,1,0,0,0,0,0,1,192,1
193,23,0,64,4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,15,8,14,8,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,193,0
194,85,1,66,5,1,0,NA,NA,NA,NA,NA,13,16,7,18,9,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,194,0
195,NA,NA,NA,NA,NA,NA,11,16,10,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,195,1
196,98,1,65,2,0,0,NA,NA,NA,NA,NA,11,15,6,14,9,15,20,6,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0
197,22,1,76,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,197,0
198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,14,6,12,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,198,0
199,153,1,26,5,0,0,NA,NA,NA,NA,NA,14,16,6,14,8,12,15,7,15,7,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0
200,69,1,45,4,1,0,10,12,4,13,8,10,15,7,13,10,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,2,NA,0,2,NA,200,1
201,NA,NA,NA,NA,NA,NA,6,16,6,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,201,1
202,38,1,21,5,1,0,NA,NA,NA,NA,NA,10,17,6,15,9,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,202,0
203,156,0,19,4,0,0,NA,NA,NA,NA,NA,10,16,6,13,8,11,14,6,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0
204,140,1,24,4,0,0,11,19,7,14,9,14,17,6,15,9,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,204,1
205,86,0,20,4,1,0,10,13,8,15,7,12,15,6,17,9,13,19,6,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,205,1
206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,19,2,15,10,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,206,0
207,122,1,28,3,0,0,12,16,5,16,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,207,1
208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,17,9,11,10,12,16,6,16,8,0,0,0,0,0,3,0,0,2,0,0,5,0,208,0
209,32,0,20,3,0,0,NA,NA,NA,NA,NA,14,18,10,18,10,12,15,6,12,8,1,0,1,2,0,5,5,0,3,1,0,9,8,209,0
210,32,0,26,3,0,0,NA,NA,NA,NA,NA,7,17,7,15,9,12,19,8,15,9,0,0,3,2,0,0,5,0,0,2,0,3,9,210,0
211,85,0,21,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,211,0
212,96,0,20,4,0,1,NA,NA,NA,NA,NA,8,15,6,17,9,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,212,0
213,43,1,24,5,1,0,NA,NA,NA,NA,NA,13,16,6,15,8,11,16,6,13,6,0,0,1,0,0,0,0,0,0,0,0,1,0,213,0
214,31,0,33,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,214,0
215,144,0,21,4,0,0,NA,NA,NA,NA,NA,13,15,7,15,8,12,17,9,16,8,0,0,0,0,0,0,5,0,0,0,0,0,5,215,0
216,37,1,19,5,0,0,NA,NA,NA,NA,NA,10,14,5,13,8,10,15,7,14,8,0,0,0,2,0,5,5,0,0,1,0,5,8,216,0
217,24,0,58,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,217,0
218,117,1,26,4,0,0,NA,NA,NA,NA,NA,8,17,6,15,9,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,218,0
219,21,0,44,3,0,0,8,15,6,13,7,11,17,7,17,9,9,12,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,219,1
220,73,0,38,4,0,0,7,11,7,11,6,13,16,9,17,9,12,17,8,14,6,0,0,0,0,0,0,5,0,0,0,0,0,5,220,1
221,18,0,40,4,0,1,6,15,6,13,8,7,16,7,15,9,11,16,6,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,221,1
222,82,1,65,5,0,0,NA,NA,NA,NA,NA,14,16,6,15,10,10,17,5,13,9,0,0,0,0,0,0,1,0,0,0,0,0,1,222,0
223,36,1,25,4,NA,1,12,15,8,16,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,223,1
224,25,0,30,5,0,1,13,17,5,14,8,11,14,7,16,8,11,14,7,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,224,1
225,24,0,28,6,1,1,NA,NA,NA,NA,NA,13,17,9,19,10,12,17,6,14,9,0,0,1,2,0,1,5,0,0,1,0,2,8,225,0
226,87,1,18,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,226,0
227,105,0,35,6,0,1,NA,NA,NA,NA,NA,12,14,3,15,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,227,0
228,88,0,28,4,1,0,NA,NA,NA,NA,NA,10,17,6,12,10,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,3,NA,0,3,NA,228,0
229,104,0,31,4,0,0,NA,NA,NA,NA,NA,10,20,6,17,10,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,229,0
230,61,0,45,4,0,1,12,17,6,17,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,230,1
231,90,1,20,4,1,0,NA,NA,NA,NA,NA,11,16,6,13,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,2,NA,0,2,NA,231,0
232,NA,NA,NA,NA,NA,NA,12,13,6,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,232,1
233,53,1,31,2,0,0,12,15,7,16,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,233,1
234,104,0,25,4,0,0,NA,NA,NA,NA,NA,8,16,6,15,9,12,16,7,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0
235,19,0,27,4,0,1,15,16,10,14,10,12,17,9,16,10,11,17,8,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,235,1
236,155,0,23,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,236,0
237,74,0,33,3,0,0,NA,NA,NA,NA,NA,8,17,5,17,10,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,237,0
238,156,0,19,4,0,0,NA,NA,NA,NA,NA,10,16,6,15,8,12,18,6,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0
239,114,1,36,4,1,0,10,18,6,16,9,12,15,6,13,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,239,1
240,145,1,33,3,0,0,5,11,5,10,3,9,17,7,13,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,240,1
241,99,1,34,3,1,0,13,17,7,15,8,14,17,6,15,10,14,17,9,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,241,1
242,NA,NA,NA,NA,NA,NA,9,13,7,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,242,1
243,140,0,22,4,0,0,11,18,8,15,9,7,16,8,14,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,243,1
244,119,0,27,4,1,0,9,15,6,10,6,10,18,8,13,8,11,16,7,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,244,1
245,41,0,19,4,1,1,8,13,6,9,5,8,16,6,13,8,9,11,5,10,6,0,0,0,0,0,0,1,0,0,0,0,0,1,245,1
246,NA,NA,NA,NA,NA,NA,8,17,8,13,8,6,16,6,13,9,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,246,1
247,77,1,24,2,0,0,NA,NA,NA,NA,NA,12,17,8,14,10,NA,NA,NA,NA,NA,0,0,1,NA,0,0,NA,0,0,NA,0,1,NA,247,0
248,117,0,18,4,0,0,8,14,6,12,8,11,18,6,11,10,10,14,6,11,7,0,0,0,0,0,0,0,0,0,1,0,0,1,248,1
249,63,1,24,2,0,0,11,17,7,14,8,10,14,6,13,8,10,13,8,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,249,1
250,45,1,20,2,1,0,NA,NA,NA,NA,NA,11,15,6,15,10,NA,NA,NA,NA,NA,0,0,1,NA,0,0,NA,0,0,NA,0,1,NA,250,0
251,4,0,24,5,1,0,NA,NA,NA,NA,NA,10,15,6,17,10,6,19,8,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,251,0
252,NA,NA,NA,NA,NA,NA,10,15,6,15,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,252,1
253,108,1,26,4,0,1,12,17,6,17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,253,1
254,54,1,28,3,0,0,10,17,5,15,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,254,1
255,141,0,22,4,0,0,NA,NA,NA,NA,NA,8,11,6,6,2,8,12,4,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0
256,8,0,19,5,NA,0,NA,NA,NA,NA,NA,12,16,6,16,9,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,1,NA,0,1,NA,256,0
257,102,1,25,5,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,257,0
258,4,1,28,5,1,0,NA,NA,NA,NA,NA,10,14,5,14,8,9,17,5,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0
259,81,0,22,4,0,0,NA,NA,NA,NA,NA,12,16,6,15,10,12,17,5,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0
260,148,1,57,5,NA,1,NA,NA,NA,NA,NA,13,19,6,16,10,10,16,7,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0
261,126,1,22,2,NA,0,10,17,6,13,9,10,15,6,13,7,10,16,4,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261,1
262,NA,NA,NA,NA,NA,NA,7,12,6,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,262,1
263,35,1,18,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,263,0
264,42,0,18,3,1,0,NA,NA,NA,NA,NA,12,15,7,11,8,14,19,6,14,6,0,0,2,2,0,0,5,0,1,0,0,3,7,264,0
265,146,0,20,4,0,0,12,12,5,11,5,11,14,6,11,8,NA,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,265,1
266,136,0,26,4,0,1,6,14,6,10,4,9,15,6,12,4,9,15,6,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,266,1
